Результаты проверки сетей:
Количество слоев: 19, количество нейронов: 8, средняя абсолютная ошибка: 0.50
Количество слоев: 19, количество нейронов: 9, средняя абсолютная ошибка: 0.05
Количество слоев: 19, количество нейронов: 10, средняя абсолютная ошибка: 0.10
Количество слоев: 19, количество нейронов: 11, средняя абсолютная ошибка: 0.05
Количество слоев: 19, количество нейронов: 12, средняя абсолютная ошибка: 0.10
Количество слоев: 19, количество нейронов: 13, средняя абсолютная ошибка: 0.10
Количество слоев: 19, количество нейронов: 14, средняя абсолютная ошибка: 0.35
Количество слоев: 19, количество нейронов: 15, средняя абсолютная ошибка: 0.35
Количество слоев: 19, количество нейронов: 16, средняя абсолютная ошибка: 0.10
Количество слоев: 19, количество нейронов: 17, средняя абсолютная ошибка: 0.10
Количество слоев: 19, количество нейронов: 18, средняя абсолютная ошибка: 0.40
Количество слоев: 19, количество нейронов: 19, средняя абсолютная ошибка: 0.10
Количество слоев: 19, количество нейронов: 20, средняя абсолютная ошибка: 0.10
Количество слоев: 20, количество нейронов: 1, средняя абсолютная ошибка: 0.10
Количество слоев: 20, количество нейронов: 2, средняя абсолютная ошибка: 0.25
Количество слоев: 20, количество нейронов: 3, средняя абсолютная ошибка: 0.25
Количество слоев: 20, количество нейронов: 4, средняя абсолютная ошибка: 0.30
Количество слоев: 20, количество нейронов: 5, средняя абсолютная ошибка: 0.30
Количество слоев: 20, количество нейронов: 6, средняя абсолютная ошибка: 0.25
Количество слоев: 20, количество нейронов: 7, средняя абсолютная ошибка: 0.10
Количество слоев: 20, количество нейронов: 8, средняя абсолютная ошибка: 0.10
Количество слоев: 20, количество нейронов: 9, средняя абсолютная ошибка: 0.10
Количество слоев: 20, количество нейронов: 10, средняя абсолютная ошибка: 0.35
Количество слоев: 20, количество нейронов: 11, средняя абсолютная ошибка: 0.25
Количество слоев: 20, количество нейронов: 12, средняя абсолютная ошибка: 0.10
Количество слоев: 20, количество нейронов: 13, средняя абсолютная ошибка: 0.05
Количество слоев: 20, количество нейронов: 14, средняя абсолютная ошибка: 0.20
Количество слоев: 20, количество нейронов: 15, средняя абсолютная ошибка: 0.10
Количество слоев: 20, количество нейронов: 16, средняя абсолютная ошибка: 0.30
Количество слоев: 20, количество нейронов: 17, средняя абсолютная ошибка: 0.05
Количество слоев: 20, количество нейронов: 18, средняя абсолютная ошибка: 0.50
Количество слоев: 20, количество нейронов: 19, средняя абсолютная ошибка: 0.05
Количество слоев: 20, количество нейронов: 20, средняя абсолютная ошибка: 0.10
